iter	Passed	Remaining
931	4139	302
932	4148	297
933	4157	293
934	4161	289
935	4166	284
936	4170	280
937	4175	275
938	4179	271
939	4182	266
940	4185	262
941	4189	257
942	4192	253
943	4196	248
944	4200	244
945	4207	240
946	4213	235
947	4218	231
948	4225	227
949	4228	222
950	4232	218
951	4236	213
952	4240	209
953	4243	204
954	4246	200
955	4250	195
956	4254	191
957	4259	186
958	4265	182
959	4268	177
960	4272	173
961	4276	168
962	4281	164
963	4285	160
964	4288	155
965	4292	151
966	4295	146
967	4299	142
968	4304	137
969	4307	133
970	4310	128
971	4313	124
972	4318	119
973	4321	115
974	4327	110
975	4331	106
976	4337	102
977	4341	97
978	4345	93
979	4350	88
980	4354	84
981	4360	79
982	4363	75
983	4368	71
984	4372	66
985	4375	62
986	4378	57
987	4382	53
988	4387	48
989	4390	44
990	4394	39
991	4398	35
992	4402	31
993	4406	26
994	4409	22
995	4413	17
996	4416	13
997	4420	8
998	4423	4
999	4427	0
