date,windturbines_mw
2011-12-21,249163.0
2011-12-22,67849.0
2011-12-23,184579.0
2011-12-24,428603.0
2011-12-25,463700.0
2011-12-26,459529.0
2011-12-27,262634.0
2011-12-28,227109.0
2011-12-29,662753.0
2011-12-30,419511.0
2011-12-31,117981.0
2012-01-01,281094.0
2012-01-02,301460.0
2012-01-03,143772.0
2012-01-04,454667.0
2012-01-05,163037.0
2012-01-06,440451.0
2012-01-07,108278.0
2012-01-08,50392.0
2012-01-09,54118.0
2012-01-10,59831.0
2012-01-11,330491.0
2012-01-12,141957.0
2012-01-13,803015.0
2012-01-14,473564.0
2012-01-15,95815.0
2012-01-16,110649.0
2012-01-17,173439.0
2012-01-18,328353.0
2012-01-19,495064.0
2012-01-20,423417.0
2012-01-21,488999.0
2012-01-22,732799.0
2012-01-23,186445.0
2012-01-24,29342.0
2012-01-25,14655.0
2012-01-26,216065.0
2012-01-27,184862.0
2012-01-28,30661.0
2012-01-29,161897.0
2012-01-30,341542.0
2012-01-31,332985.0
2012-02-01,361649.0
2012-02-02,79253.0
2012-02-03,85577.0
2012-02-04,453659.0
2012-02-05,141089.0
2012-02-06,288880.0
2012-02-07,47741.0
2012-02-08,146116.0
2012-02-09,21693.0
2012-02-10,103913.0
2012-02-11,395619.0
2012-02-12,97867.0
2012-02-13,38420.0
2012-02-14,190669.0
2012-02-15,783691.0
2012-02-16,208598.0
2012-02-17,436473.0
2012-02-18,320234.0
2012-02-19,517179.0
2012-02-20,277818.0
2012-02-21,538762.0
2012-02-22,429747.0
2012-02-23,704878.0
2012-02-24,772397.0
2012-02-25,709225.0
2012-02-26,248957.0
2012-02-27,113557.0
2012-02-28,529206.0
2012-02-29,194613.0
2012-03-01,711315.0
2012-03-02,30785.0
2012-03-03,160152.0
2012-03-04,63751.0
2012-03-05,72869.0
2012-03-06,52975.0
2012-03-07,20997.0
2012-03-08,24725.0
2012-03-09,19632.0
2012-03-10,256643.0
2012-03-11,279936.0
2012-03-12,161675.0
2012-03-13,276562.0
2012-03-14,182035.0
2012-03-15,36676.0
2012-03-16,121618.0
2012-03-17,119258.0
2012-03-18,196400.0
2012-03-19,370101.0
2012-03-20,261746.0
2012-03-21,120375.0
2012-03-22,32916.0
2012-03-23,14071.0
2012-03-24,43686.0
2012-03-25,94216.0
2012-03-26,28935.0
2012-03-27,206512.0
2012-03-28,395085.0
2012-03-29,720096.0
2012-03-30,665493.0
2012-03-31,773119.0
2012-04-01,834163.0
2012-04-02,19065.0
2012-04-03,170237.0
2012-04-04,187928.0
2012-04-05,103667.0
2012-04-06,40792.0
2012-04-07,24148.0
2012-04-08,20942.0
2012-04-09,20350.0
2012-04-10,443373.0
2012-04-11,209967.0
2012-04-12,448754.0
2012-04-13,66023.0
2012-04-14,50292.0
2012-04-15,219104.0
2012-04-16,375273.0
2012-04-17,150216.0
2012-04-18,218002.0
2012-04-19,116791.0
2012-04-20,54378.0
2012-04-21,155106.0
2012-04-22,131777.0
2012-04-23,129475.0
2012-04-24,132071.0
2012-04-25,229395.0
2012-04-26,335186.0
2012-04-27,104563.0
2012-04-28,120307.0
2012-04-29,211071.0
2012-04-30,188179.0
2012-05-01,879265.0
2012-05-02,50107.0
2012-05-03,242701.0
2012-05-04,69533.0
2012-05-05,70503.0
2012-05-06,184568.0
2012-05-07,72754.0
2012-05-08,22485.0
2012-05-09,81023.0
2012-05-10,527761.0
2012-05-11,321007.0
2012-05-12,205245.0
2012-05-13,96800.0
2012-05-14,112225.0
2012-05-15,190988.0
2012-05-16,297510.0
2012-05-17,217502.0
2012-05-18,192388.0
2012-05-19,87228.0
2012-05-20,150117.0
2012-05-21,232594.0
2012-05-22,146005.0
2012-05-23,170786.0
2012-05-24,257678.0
2012-05-25,148633.0
2012-05-26,68638.0
2012-05-27,29579.0
2012-05-28,44332.0
2012-05-29,248396.0
2012-05-30,115416.0
2012-05-31,50922.0
2012-06-01,538232.0
2012-06-02,30859.0
2012-06-03,112077.0
2012-06-04,72628.0
2012-06-05,31839.0
2012-06-06,61512.0
2012-06-07,33056.0
2012-06-08,173225.0
2012-06-09,165587.0
2012-06-10,330221.0
2012-06-11,398208.0
2012-06-12,302627.0
2012-06-13,106389.0
2012-06-14,30558.0
2012-06-15,80587.0
2012-06-16,143041.0
2012-06-17,159666.0
2012-06-18,260965.0
2012-06-19,50107.0
2012-06-20,87413.0
2012-06-21,68995.0
2012-06-22,144296.0
2012-06-23,155170.0
2012-06-24,240593.0
2012-06-25,505171.0
2012-06-26,409371.0
2012-06-27,102673.0
2012-06-28,31180.0
2012-06-29,115355.0
2012-06-30,29317.0
2012-07-01,598947.0
2012-07-02,101418.0
2012-07-03,176927.0
2012-07-04,392986.0
2012-07-05,7513.0
2012-07-06,41558.0
2012-07-07,19304.0
2012-07-08,351538.0
2012-07-09,278952.0
2012-07-10,278656.0
2012-07-11,674901.0
2012-07-12,130598.0
2012-07-13,156527.0
2012-07-14,286170.0
2012-07-15,148362.0
2012-07-16,258734.0
2012-07-17,249988.0
2012-07-18,191981.0
2012-07-19,367747.0
2012-07-20,259451.0
2012-07-21,131890.0
2012-07-22,61294.0
2012-07-23,43319.0
2012-07-24,110301.0
2012-07-25,47079.0
2012-07-26,43741.0
2012-07-27,59685.0
2012-07-28,139934.0
2012-07-29,88399.0
2012-07-30,110421.0
2012-07-31,41727.0
2012-08-01,369588.0
2012-08-02,76693.0
2012-08-03,265755.0
2012-08-04,103353.0
2012-08-05,100485.0
2012-08-06,206871.0
2012-08-07,81040.0
2012-08-08,163537.0
2012-08-09,126692.0
2012-08-10,237468.0
2012-08-11,464892.0
2012-08-12,78810.0
2012-08-13,96894.0
2012-08-14,62549.0
2012-08-15,63379.0
2012-08-16,49034.0
2012-08-17,9164.0
2012-08-18,72964.0
2012-08-19,103844.0
2012-08-20,122901.0
2012-08-21,41175.0
2012-08-22,219226.0
2012-08-23,96200.0
2012-08-24,30592.0
2012-08-25,115897.0
2012-08-26,371699.0
2012-08-27,160131.0
2012-08-28,101670.0
2012-08-29,45503.0
2012-08-30,80487.0
2012-08-31,39781.0
2012-09-01,204242.0
2012-09-02,235523.0
2012-09-03,175517.0
2012-09-04,338730.0
2012-09-05,200759.0
2012-09-06,240717.0
2012-09-07,245020.0
2012-09-08,83182.0
2012-09-09,86110.0
2012-09-10,343483.0
2012-09-11,150644.0
2012-09-12,439143.0
2012-09-13,44990.0
2012-09-14,404308.0
2012-09-15,284556.0
2012-09-16,100879.0
2012-09-17,110039.0
2012-09-18,139027.0
2012-09-19,192225.0
2012-09-20,132311.0
2012-09-21,134576.0
2012-09-22,339752.0
2012-09-23,117941.0
2012-09-24,292132.0
2012-09-25,232371.0
2012-09-26,93750.0
2012-09-27,218391.0
2012-09-28,227190.0
2012-09-29,217347.0
2012-09-30,169378.0
2012-10-01,415970.0
2012-10-02,43158.0
2012-10-03,438325.0
2012-10-04,342901.0
2012-10-05,200054.0
2012-10-06,53163.0
2012-10-07,93819.0
2012-10-08,90373.0
2012-10-09,136460.0
2012-10-10,156050.0
2012-10-11,245660.0
2012-10-12,211839.0
2012-10-13,269104.0
2012-10-14,205616.0
2012-10-15,199937.0
2012-10-16,204890.0
2012-10-17,251829.0
2012-10-18,250257.0
2012-10-19,146307.0
2012-10-20,42722.0
2012-10-21,57347.0
2012-10-22,44035.0
2012-10-23,12660.0
2012-10-24,1832.0
2012-10-25,231892.0
2012-10-26,139702.0
2012-10-27,185799.0
2012-10-28,64814.0
2012-10-29,233520.0
2012-10-30,176278.0
2012-10-31,179878.0
2012-11-01,353114.0
2012-11-02,14572.0
2012-11-03,450245.0
2012-11-04,121429.0
2012-11-05,331478.0
2012-11-06,12311.0
2012-11-07,135417.0
2012-11-08,47966.0
2012-11-09,161759.0
2012-11-10,53122.0
2012-11-11,147644.0
2012-11-12,307307.0
2012-11-13,82447.0
2012-11-14,70665.0
2012-11-15,20746.0
2012-11-16,16690.0
2012-11-17,98808.0
2012-11-18,62988.0
2012-11-19,44303.0
2012-11-20,49834.0
2012-11-21,169833.0
